Region,Col1,Contents,Date,Joy_count,Peace_count,sentiment
Jeddah,Boo.,فوق م اني نمت وانا زعلانة صحيت وانا زعلانة برضو❤️,22/02/2019 11:12,0,0,Other
Makkah Al Mukarrama,رايد الهذلي,@hfc_am1 @Fujgrr اتفق,22/02/2019 11:12,0,0,Other
Hail,محمد السراي,"لا شأن لي بجمالك، بهندامك، بشجرة عائلتك الطويلة، وبما تملكه ولا أملكه؛  تهمني أخلاقك صدقك، وإنسانيتك في عالم مزدحم بأشباه الإنسان .""",22/02/2019 11:12,0,0,Other
Riyadh,Ais.,@li7lc افاا من يزعل حلوتي الورع؟,22/02/2019 11:12,0,0,Other
Jeddah,M🥀,"W/@assemabj (@ The Social Kitchen in Jeddah, Makkah) https://t.co/7o9MbO6B7Q",22/02/2019 11:12,0,0,Other
Riyadh,ثآمر بن سعود,"اطمئن:
أحزانك لن تدوم
وهذا الوقت حتما سيمضي
ولا تعلم فلعل أجمل أيامك لم يأت بعد
أو ربما عجل الله لك أيام الشدة وادخ… https://t.co/tJbreIozep",22/02/2019 11:12,0,2,Peace
Makkah Al Mukarrama,إ,Bir arifin diliyle söyleyelim;İnsanların ezasını çeke çeke Hacer'ül Esved gibi siyahlaşmadıkça insan Allah'a makbul olmaz...,22/02/2019 11:12,0,0,Other
Makkah Al Mukarrama,ابو البراء العروي,تبغى يروح معك البيت  استغفر الله بس https://t.co/vnkSnvSi23,22/02/2019 11:12,0,0,Other
Riyadh,𝐿𝑎𝑠𝑡 𝑔𝑖𝑟𝑙 𝑜𝑛 𝑒𝑎𝑟𝑡ℎ,@dal_mush الاباء غريبين غريبين غريبين دايم يعطون رده الفعل الغير متوقعه يعني تتوقعين بينحرك لا سويتي ذا الشي في الا… https://t.co/En28GvCrCJ,22/02/2019 11:12,0,0,Other
Riyadh,ٰ,@mdalhoryes_ @LNalhoryes_ طبعًا بنات الحريص وش أنا بدونهم؟؟؟؟,22/02/2019 11:12,0,0,Other
Riyadh,Muna AbuSulayman منى,محاضرة كنت اتمني حضورها لما كان لها من أثر على الحاضرين بنقاش جاد من المختصين عن فعالية و كفاءة العمل الخيري ب… https://t.co/KQLFzszM7F,22/02/2019 11:12,0,0,Other
Riyadh,فيصل¹⁷,كفو اجلدوا الفيفا https://t.co/rPYACSkDEJ,22/02/2019 11:12,0,0,Other
Kingdom of Saudi Arabia,Good friend,"شاهد متعه النيك التراثى مع شرموطه بتاخد جوزها دور نيك ممتع

افلام سكس سعوديه

رابط الفلم⬅️https://t.co/qlFMyVAcXg
oxEal
#اه_كسي_مولع",22/02/2019 11:12,0,0,Other
Riyadh,Mishari,سبحان الله والحمدلله ولا إله الا الله والله أكبر,22/02/2019 11:12,0,1,Peace
Ahsa,فواز الدحيلان,#شكرا_لمن_تقولونها  شكرآ يالله على أشياء كثيرة ليس بوسعي عدها؛ أعيش بها ومعها كل يوم وكل لحظة؛ اللهم لك الحمد على نعمك✨♥️💛,22/02/2019 11:12,0,1,Peace
Tabuk,عبدالرحمن العطوي,https://t.co/jp0zye45mA,22/02/2019 11:12,0,0,Other
Riyadh,sultan aldawish,#يوم_الجمعة https://t.co/K7SAPVY3mQ,22/02/2019 11:12,0,0,Other
Jubail,Tahir Zahoor Ghauri,@Naila_Arshad94 واحد راستہ مذاکرات 😂🤣,22/02/2019 11:12,0,0,Other
Dammam,shmshony +56 🇸🇦,@_Koa7 @10Hfc الا تعال خويكم بريجوفيتش لعب امس؟,22/02/2019 11:12,0,0,Other
Riyadh,السوبر ابواينار 😎,@xxt44 ماحس ان الواحد يكبر عالاشياء ذي 🙂,22/02/2019 11:12,0,0,Other
Al Madinah Al Munawwarah,mawadh',@dr_alba8ami اللهم يامغير اﻷحوال غير حالي ﻷفضل حال وارزقني رزقا عاجلاً غير أجل.,22/02/2019 11:12,0,0,Other
Jeddah,Ahmed | أحمد,@aziizrock 😂💜💜 https://t.co/lrtguestKQ,22/02/2019 11:12,0,0,Other
Jeddah,M.s,"وجئتكَ أشتكي آلامَ روحي
أنا يارب من ذنبي تعبتُ
•
لو أن الكونَ كل الكون ذنبي
وقفتُ أمام بابك ما يئستُ !

 🌹",22/02/2019 11:12,0,0,Other
Al Khobar,حياة,"ربي في يوم الجمعة لك عبادٌ
ينتظرون فرجاً فبشرهم و عبادٌ
يسألون شفاءً فعافهم 
وعبادٌ يرجون رحمتك فأرحمهم
وأمواتٌ ينت… https://t.co/waOdqD1TTR",22/02/2019 11:12,1,2,Peace
Riyadh,Azooz,"@bballbreakdown Coach , can you answer this question plz ? what's your team that you cheer on ?",22/02/2019 11:12,0,0,Other
Riyadh,ابراهيم الرويشد,@7madms عندما تتنافر الآراء,22/02/2019 11:12,0,0,Other
Asir,نواف الآسيوي 🇸🇦 .,فيسل كوبي ضاغط والهدف قرّب,22/02/2019 11:12,0,0,Other
Abha,علي الشهراني#58,@Mjeed_2T صحيح افضل لكن بمراحل راح نعرف برمضان الفرق,22/02/2019 11:12,0,0,Other
Riyadh,عبدالعزيز علي القرني 💮,"@_Ali_Al_Qarni_ وعليكم السلام ..
بس ما كنت كذا يا كابتن ..
كانت :
٤ ٢ ٣ ١ 🤷🏻‍♂️",22/02/2019 11:12,0,2,Peace
Makkah Al Mukarrama,عبدالله العَمري,"#منع_الشيلات_بالمدارس افضل قرار 👍 المدارس للتعليم وتنمية الفكر والعقل  وليست للرقص والعصبيه  ..
وفق الله وزيرنا لكل خير ...",22/02/2019 11:12,0,0,Other
Al Aqiq,Ahmed,@GemyAskalany انا عملتلك وخلاص هههه,22/02/2019 11:12,0,0,Other
Rabigh,صدقة جاريه,https://t.co/HIByQ5yVaD,22/02/2019 11:12,0,0,Other
Riyadh,Mishari,سبحان الله وبحمده سبحان الله العظيم,22/02/2019 11:12,0,0,Other
Makkah Al Mukarrama,Azzam Thabit,"#يوم_الجمعه يارب إن لم أحسن في دعائي فأنت أعلم بحاجاتي، وإن قصرت فأنت سبحانك تعلم غاياتي ولا يخفى عليك شيء من أحوال… https://t.co/dG1bc8wFRO",22/02/2019 11:12,0,0,Other
Qatif,Rehab Abdullah💎.,الله يقدرني امشي على رجولي بس.,22/02/2019 11:12,0,0,Other
Al Badi' and Al Qurfi,ابتدائية اسماء بنت النعمان بالخزنه,تم في يوم الخميس الموافق: ١٦ /٦ تنفيذ برنامج غسيل اليدين من قبل المرشدة الصحيه : فاطمه شويهي وباشراف قائده المدرسة:… https://t.co/6iLHRdQCa5,22/02/2019 11:12,0,0,Other
King Abdullah Road Walking Area ممشى طريق الملك عبدالله,ali_masrahi,🏃❤⌚ https://t.co/zOEhvH9Y1S,22/02/2019 11:12,0,0,Other
Riyadh,تركي #13,مشتاقيييين لللحب 🙄🧡🧡 https://t.co/VCQ0KtuMVs,22/02/2019 11:12,0,0,Other
Jeddah,خالد العقلا,اللهم إنك عفوٌ كريمٌ تحب العفو فاعف عنّا.,22/02/2019 11:12,0,0,Other
Riyadh,محمد حوذان,#صلوا_علي_النبي_لاجل_شفاعته https://t.co/NNPkNVNv2j,22/02/2019 11:12,0,0,Other
Riyadh,"‏﮼سعد،بن،أحمد","صلوا على من تدخلون بهديه دار السلام وتبلغون المُبتغى وسّلموا على من تردوا به حوض الكرامة مشربًا💛💛*.

 *اللهُم صلِ و… https://t.co/wt2WfhLR3M",22/02/2019 11:12,0,2,Peace
Makkah Al Mukarrama,Ghadeer💎,"اللهم ارحم من غابوا غياباً ابدياً
 اللهم ابعث لهم نوراً الى يوم يبعثون💕

 #يوم_الجمعه",22/02/2019 11:12,0,4,Peace
Riyadh,فعاليات الرياض |RIYADH EVENTS,"لو قالوا لك #هيئة_الترفية اطلب ماتتمنى 🤹🏼‍♂ وش ودك نجيب لك فعالية في السعودية..! 🎪وش راح تطلب؟

#فعاليات_الرياض https://t.co/aez4Ftq7Wy",22/02/2019 11:12,0,0,Other
Al Kharj,ابو ماجد MBS,الزول زوله والحلايا حلاياه ماشاء الله https://t.co/GA7mWmMB6Z,22/02/2019 11:12,0,0,Other
Riyadh,عدنان صلبي المغامس,@TRENDNETWORK_kw كل شي يصير !,22/02/2019 11:12,0,0,Other
Jazan,الثانوية الخامسة 5/ج,نفذيوم الأربعاءالموافق ٨ / ٦ / ١٤٤٠ هـ محاضرتوعوية عن حمىّ الضنك والاعراض وطرق المكافحة من قبل إدارة نواقل المرض ال… https://t.co/A9J87VlR0M,22/02/2019 11:12,0,0,Other
Jeddah,Saeed,@no0on207 @glaai44 بتهحون سلامات,22/02/2019 11:12,0,2,Peace
Umluj,ميدو الجهني.,"#يوم_الجمعه
اللهُمّ صَلِّ وسلّم وزد وبارك وأنعم على نبينا محمّد ﷺ https://t.co/dc3PQMO2aQ",22/02/2019 11:12,0,0,Other
Makkah Al Mukarrama,Maram ♥️,يا رب 😩😩 يسر لي أموري القادمة يااااااااااا رب,22/02/2019 11:12,1,0,Joy
Unayzah,غلا السلمان,معكم وحده غبيه شاتت كورة اخوه بالشارع 🙆‍♀️,22/02/2019 11:12,0,0,Other
Jeddah,مروج الغامدي,لقَد اشتاقَ سمعي منك لفظاً,22/02/2019 11:11,0,0,Other
Makkah Al Mukarrama,ابو البراء العروي,ايش رايك إيقاف ترتاح منه https://t.co/oxGvSW7sRF,22/02/2019 11:11,0,0,Other
Al Madinah Al Munawwarah,Maher,@m31xm31 https://t.co/Cb8uURUcoW,22/02/2019 11:11,0,0,Other
Al Madinah Al Munawwarah,Maher,@m31xm31 يتبع https://t.co/5uWFsLo6LF,22/02/2019 11:11,0,0,Other
Jeddah,Saikō 🔭.,"اصحاب الAirPods اذا شافو ناس عندهم سماعات عادية 
 https://t.co/YyLZSSQVpl",22/02/2019 11:11,0,0,Other
Riyadh,القلب ومايريد 🏃🏾‍♂️💔🌹✋,"ما استُكمِلتْ لي فيك أولُ نظرةٍ
حتى علمتُ بأنَّ حبّك فاضِحي
أهواهُ حتى العينُ تألفُ سُهدها
فيهِ ، وتطربُ بالسقامِ جوارحي !",22/02/2019 11:11,0,0,Other
Buraydah,💚 خالد  A  الشمري 💚,"الوفاء و الاهتمام و المشاعر والاحاسيس 
والتعامل الحسن وطيب الاخلاق
هي التكامل المميز 🌺 https://t.co/lGD6GYZ0WJ",22/02/2019 11:11,0,0,Other
Al Madinah Al Munawwarah,أكـرم,@dwcrr11 انسي 😂,22/02/2019 11:11,0,0,Other
Riyadh,اتحاد الريشة الطائرة,📸| انطلاق منافسات اليوم الأول من #بطولة_ايطاليا_الدولية_للشباب المقامة في مدينة ميلان الإيطالية 🇸🇦🏸🇮🇹… https://t.co/uOSNQU7wp7,22/02/2019 11:11,0,0,Other
Jeddah,YAZEED ➰,"اللهم صلِ و سلم 
على نبينا و حبيبنا محمد ♥️♥️",22/02/2019 11:11,0,1,Peace
Riyadh,Mishari,الحمدلله دائماً وأبداً ❤️,22/02/2019 11:11,0,2,Peace
Riyadh,أبوعبدالعزيز💙58💙,"أستغفر الله العظيم وأتوب إليه
أستغفر الله العظيم وأتوب إليه
أستغفر الله العظيم وأتوب إليه
أستغفر الله العظيم وأتوب… https://t.co/Bg4mTXFg57",22/02/2019 11:11,0,0,Other
Riyadh,دحوموفيتش,@Eiss_10 انا يوم وصلت نصه قالوا بينزلونه 😂,22/02/2019 11:11,0,0,Other
Ahsa,صالح بن سعد,(إِنَّ اللَّهَ وَمَلَائِكَتَهُ يُصَلُّونَ عَلَى النَّبِيِّ يَا أَيُّهَا الَّذِينَ آمَنُوا صَلُّوا عَلَيْهِ وَسَلِّ… https://t.co/tLyPSvPPYu,22/02/2019 11:11,0,0,Other
Riyadh,السوبر ابواينار 😎,"https://t.co/BXKvGKAppO

تركي الشيخ باع النادي !
عاد امس حلمت فيه اني اجلس انا وياه كم ساعة مناقشة لوضع الرياضة واض… https://t.co/mMO1IT7fmn",22/02/2019 11:11,0,0,Other
Jeddah,مشويات سطام الحربي ®️,"﷽
{إنّ اللهَ وملائكتَهُ يُصَـلُّونَ على النبي يا أيها الذين آمنوا صَلُّوا عليه وسلِّمُوا تسليما}
اللهم صلِ و سلم عل… https://t.co/UuDhLQiW0b",22/02/2019 11:11,0,3,Peace
Buraydah,abubasil  البراك,"بالتوفيق لرائد التحدي 
#الرائدء
#رائد_التحدي  #Raed4ever",22/02/2019 11:11,0,0,Other
Jeddah,9arah✨,من ارعب لحظات حياتي https://t.co/CviZpT3EW2,22/02/2019 11:11,0,0,Other
Al Madinah Al Munawwarah,The Ezo,@qix_2 ما لنا الا نردد ظروف تشلسي,22/02/2019 11:11,0,0,Other
Riyadh,سليمان  الحمود,"@aawsat_News غريب أن يتنقل الدواعش على مرأى ومسمع العالم، هذا يعني أن هناك من يحمي الإرهابيين ويسهل أمورهم، فتش عن… https://t.co/Dx58wYORib",22/02/2019 11:11,0,0,Other
Dammam,صالح بن ذيب,بالصور جانب من التكريم https://t.co/gn1srgtwtw,22/02/2019 11:11,0,0,Other
Dammam,ahmed almalki,@ahmadassiri1 والعابد,22/02/2019 11:11,0,0,Other
Hawtat Sudayr,محمد عبدالله الناجم,@dr_bashair_psy الله يكتب اجرك وينفع بعلمك يادكتورة,22/02/2019 11:11,0,0,Other
Dammam,Raghad 🎶🖤..,❤️❤️): https://t.co/CjyFqVI63R,22/02/2019 11:11,0,0,Other
Riyadh,فهد الميموني MBS ❁,"امر مؤسف ما يحاك ل #الاتحاد
في مباراة #النصر_الفيحاء",22/02/2019 11:11,0,0,Other
Al Madinah Al Munawwarah,خيرى ابو سعادة kaery,@iraqya99 https://t.co/DN9S8W0F2S,22/02/2019 11:11,0,0,Other
Al Madinah Al Munawwarah,نسائم الخيرات☁️,"@roohh_19 @reem140360 اللهُم في يوم الجُمعة:
يسعدك سعادة لاتنتهِـي ويرزقك حياة جميلة  ويحقّق أمانيك💜💜🌿.",22/02/2019 11:11,1,0,Joy
Ahsa,م. نبيل الوصيبعي,@Ibrahim56454141 @hasa_env @SharqiyaOyun @Hashtak_env @Ksa_env @7asaVoice @qhr10k @Aziz_AlAwwad @abu_firas_32 بيض ا… https://t.co/VOJAjtvAxH,22/02/2019 11:11,0,0,Other
Riyadh,نوُرا,"طالعين مخيم وكل الناس وصلو واللي معهم الغداء بنشروا طلعه واضحه من بدايتها 😆💔 ،",22/02/2019 11:11,0,0,Other
Jazan,عصام ( جيزاني من أمفن) جازان,https://t.co/B5KhCLiPgd,22/02/2019 11:11,0,0,Other
Najran,علي حمد ال عقيل,إذا لم تكن لديك الشجاعة يتخسر دائماً.,22/02/2019 11:11,1,0,Joy
Jeddah,Usmankhan 277,@ThinkTankPmlN7 @MaryamNSharif @Mdushman @mansoor_zaigham @SPrettybanshee @MemonaMushtaq @RiazHus26826234… https://t.co/cUUb5zKZfB,22/02/2019 11:11,0,0,Other
Riyadh,محمدالعوتيبي,@m_7oii https://t.co/eHCrVVhxu6,22/02/2019 11:11,0,0,Other
Riyadh,ش💛.,المرء لا يريد أن يموت هو يريد شيء بهِ يموت ذكريات ما أو تفاصيل ما او شخصاً عالقاً في ذهنهِ أو شعور ما أو سراً ما هو… https://t.co/9gnwRQf1TI,22/02/2019 11:11,1,0,Joy
Makkah Al Mukarrama,رمضان عبدالله الكناني,"خطبة الجمعة ١٧/٦ من المسجد النبوي للشيخ علي الحذيفي ،،

https://t.co/WUSp3gn6JU",22/02/2019 11:11,0,0,Other
Riyadh,عبود ♌️,@CFCSAUDIFANS https://t.co/qbB1T3inU9,22/02/2019 11:11,0,0,Other
Jeddah,عبدالعزيز الغامدي,"اللهُم نسألك في هذا اليوم أن تمسح عنا أوجاعنا وتشفي مرضانا وترحم موتانا,اللهُم إسقنا فرحاً وارزقنا من كل مداخل الخير💛.#يوم_الجمعه",22/02/2019 11:11,1,0,Joy
Riyadh,Hamad,"مساء الزعامة ، مساكم أزرق 😍💙💙 (at @FitnessTimeSa in Riyadh) https://t.co/ScNiCABh1p",22/02/2019 11:11,0,0,Other
Riyadh,#بشرى_السعاده 🌸,"ربما يحبُّ الحزن الذي في حروفي ؛
لهذا كان يجرحني دائماً.. 😢💔",22/02/2019 11:11,0,0,Other
Unayzah,غادة SJ,"و مُحمَّدٌ ﷺ نورٌ إذا حَلَّ في ظُلمَةِ قلبٍ 
أضَاءَهَا❤️❤️
"" اللهم صل وسلم على نبينا محمد """,22/02/2019 11:11,0,3,Peace
Jazan,عصام ( جيزاني من أمفن) جازان,https://t.co/6z1hcUdhay,22/02/2019 11:11,0,0,Other
Riyadh,Amal Aljehani,اللهم صلِّ و سلم وبارك على نبينا و حبيبنا محمد ♥️,22/02/2019 11:11,0,1,Peace
Riyadh,سُمـَرَۄنّ 20 🍆🍫,"في سالب اسمر ولا برونزي يبي يقابل عمري ٢٠ 🙈❤️😏
#سالب_الرياض
#مبادل_الرياص
#موجب_الرياض",22/02/2019 11:11,0,0,Other
Jeddah,أفنان 🍩.,يا غياث المستغيثين .,22/02/2019 11:11,0,0,Other
Makkah Al Mukarrama,حنين الجنان,"اللهم صل وسلم على نبينامحمد
اللهم صل وسلم على نبينامحمد
 🍃
اللهم صل وسلم على نبينامحمد
اللهم صل وسلم على نبينامحمد… https://t.co/qasomXVLTa",22/02/2019 11:11,0,1,Peace
Riyadh,محمدالعوتيبي,@aaaayesa https://t.co/BI1IhTxtyt,22/02/2019 11:11,0,0,Other
Qatif,ZA 🕊.,بنفسي أنت من مُغيّبٍ لم يخلُ منّا..,22/02/2019 11:11,0,0,Other
Afif,🌸🌸,اللهم صلِ وسلم على نبينا محمد🍃,22/02/2019 11:11,0,1,Peace
Jazan,عصام ( جيزاني من أمفن) جازان,https://t.co/9TcGhyGfDL,22/02/2019 11:11,0,0,Other
Al Madinah Al Munawwarah,مصطفى,@SILINa___a هذا تادب النفس مع النفس,22/02/2019 11:11,0,0,Other
Jazan,عصام ( جيزاني من أمفن) جازان,https://t.co/59lKaftOFI,22/02/2019 11:11,0,0,Other
Sihat,Montadar Nasserallah,I'm at مطعم مشويات الصادق https://t.co/e9w5q48M1p,22/02/2019 11:11,0,1,Peace
Riyadh,عبدالله محمد الضعيان,@salehalsudairy2 آتمنى الإشارة إلى النشاروالموزع حفظك الله.,22/02/2019 11:11,0,0,Other
Riyadh,FaisaL AL SowaygH,"#يوم_الجمعه
﮼ماأَجْمَلُ       
              "" *﮼كَلاَم،اللّه*""ِ   
             
     *﮼وَلَسَوْفَ،يُعْطِيكَ،رَبَّ… https://t.co/iFNViOYuRD",22/02/2019 11:11,0,0,Other
Jeddah,Haneen Estanboli,حقيقي بعد ماشفنا الحالات في المستشفى ☹️ شي يوجع القلب https://t.co/1ZrKhHsPr2,22/02/2019 11:11,0,0,Other
Riyadh,باريستا ديما 🇸🇦,@nnyu33 صادقه 💘.,22/02/2019 11:11,0,0,Other
Ahsa,احمد عبدالله,"لن تتعلم ،،
شيئاً من الحياة ، إن كنت تعتقد بأنك دائماً على حق ،،!!

#فلسفة_ مسائية",22/02/2019 11:11,0,0,Other
Makkah Al Mukarrama,النديم,"@AJABreaking هذا يمثلكم انتم وتميم الذل 

استحوا 
اخجلوا 
اما كفاكم

السعودية العظمى تتجول بين دول العالم وبين قادة… https://t.co/480vQkX7EI",22/02/2019 11:11,0,0,Other
Al Khobar,ABDULAZIZ ALZOUBI,@awaylondon1 @Abood_thumairi @khobar_municpal @ALKHOBAR_CITY @damm_111 @Sharqiya_Voice هذا المخطط الى انت حاطه يسبب… https://t.co/Pzivql24dI,22/02/2019 11:11,0,0,Other
Makkah Al Mukarrama,عمر,@Almoj_alazra8 طررق,22/02/2019 11:11,0,0,Other
Taif,Vivian,@alwaleed_philan اللهم صل وسلم وبارك عليه افضل الصلاة والسلام,22/02/2019 11:11,0,4,Peace
Dammam,j♥️e♥️h♥️a♥️n♥️,❤اللهم صلى وسلم على حبيبنا محمد عليه افضل السلام❤ https://t.co/SbJ7viFzZ9,22/02/2019 11:11,0,3,Peace
Jeddah,LAMA,"امانه ي ناس ايش صاير؟!.. والله صرت اخاف من كل شي لما اشوف نفس دي الكومنت دول ما يخافو من ربي! "" عنصرية ، تشويه سمعه… https://t.co/Hgkaol6e4w",22/02/2019 11:11,0,1,Peace
Jeddah,Ali Bn Ali🇸🇦,"@HRHMBNSALMAAامدك الله بالصحة والعافية والعمر المديد ...
صقر السعودية العظمى...
يعجبنى اسلوب ادارة الصقور يحلق لمعر… https://t.co/MXauusUCI8",22/02/2019 11:11,0,0,Other
Jazan,ᎪᎥᏚᎻᎪ.,يُوم جمعة وساعة إستجابه .. و عنديّ اختبار قدراات اذكروني بدعواتكم💛💛💫.,22/02/2019 11:11,0,0,Other
Taif,اللّهم صلِّ على محمد,"@al_zara1 @narcisse__7 سلام عليكم أ.محمد اذا تسمح بسؤال خاص ولك حرية الإجابة
هل أنت معلم في قسم شؤون المعلمين بالإد… https://t.co/v0wamCR7PN",22/02/2019 11:11,0,1,Peace
Riyadh,سعود,"آخر 5 مباريات جمعت الهلال بالإتحاد :
3 فوز للهلال وتعادلين

آخر 5 مباريات جمعت الهلال بالأهلي :
3 فوز للهلال وتعادل… https://t.co/YggI65qFZ6",22/02/2019 11:11,0,0,Other
Al Madinah Al Munawwarah,R.m Q,وينكم يا أمة محمد صلى الله عليه وسلم ساعدوني https://t.co/9mcgkNFp4i,22/02/2019 11:11,0,1,Peace
Jeddah,بن حكران للدعاية والاعلان,لكم الشكر والامتنان,22/02/2019 11:11,0,0,Other
مرور جسر الملك فهد,ヘンド,To Bahrain 🇧🇭 ♡.,22/02/2019 11:10,0,0,Other
Riyadh,Fsl....🎵,@h2nt_ الله يسعدكم 😶💞,22/02/2019 11:10,1,0,Joy
Riyadh,القلب ومايريد 🏃🏾‍♂️💔🌹✋,@oman8754 اللهم امين يارب,22/02/2019 11:10,0,0,Other
Jeddah,yaseen,"I'm at The Coffee Bean &amp; Tea Leaf in Jeddah, Makkah w/ @_xyzn @bassam_mn1 @najjaray97 https://t.co/9AHDy0eHWF",22/02/2019 11:10,0,0,Other
Riyadh,Ais.,@N00237357 هههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه اننننن,22/02/2019 11:10,0,0,Other
Al Madinah Al Munawwarah,mawadh',@dr_alba8ami لااله الا الله,22/02/2019 11:10,0,0,Other
Riyadh,لطيفة عساف,"تذكر قول الله تعالى :
*ألا بذكر الله تطمئن القلوب*    
أتمنى لكم يوما مليئا بالدعوات المستجابة من رب كريم وعظيم.
وص… https://t.co/A8JkiAJwah",22/02/2019 11:10,0,2,Peace
Jubail Industrial City,ل,ويكفي أن أحبك بيني وبين ذاتي,22/02/2019 11:10,0,0,Other
Jeddah,Loyal.. ♊️,@NetflixMENA did you guys remove Elementary from Netflix!!?😶,22/02/2019 11:10,0,0,Other
Dawmat Al Jandal,آلـ,أرفض قلوب العالم كلها و أفتح لك كل أبوابي..كلها والله,22/02/2019 11:10,0,0,Other
Najran,"الرهـــــــاوي،",@shgrdyea_3 تم 😂😂,22/02/2019 11:10,0,0,Other
Riyadh,باريستا ديما 🇸🇦,حصلت اللوكيشن اللي يبي حلا لذيذ و سعره زين يجربه احبببه وموجود في محلات الأسر المنتجه اسمه الجوزاء  :- Hind sweet ح… https://t.co/ZMttTz8oA4,22/02/2019 11:10,1,0,Joy
Jeddah,Yazen Aljuhani 🇬🇧🇸🇦.,#PUBG مين يلعب؟؟,22/02/2019 11:10,0,0,Other
Riyadh,★,Cousins💕💕 (@ Kyokusen Sushi Boutique - @kyokusen_sa in Hitteen) https://t.co/Y2DIfvMJmU,22/02/2019 11:10,0,0,Other
Riyadh,lollipop ,@aimankhaled93 بعضهم اصدقائي و بعضهم لأ😅🙏🏻,22/02/2019 11:10,0,0,Other
Al Madinah Al Munawwarah,شبكة ليفربول,"كلوب :"" لا يمكننا جعل المباراة أكبر مما هي عليه ، علينا فقط أن نعمل بشكل جيد ، أعلم ما لديك في عقلك ، بالنسبة لنا أ… https://t.co/NwjzAcVBnL",22/02/2019 11:10,0,0,Other
Al Madinah Al Munawwarah,k@oRhysian's27,Love love love #KAORHYSChamBabeTime https://t.co/SjpyMqy7Je,22/02/2019 11:10,0,0,Other
Shaqra,BC CAFE,جمعة طيبة على الجميع ♥️ @ BC CAFÉ https://t.co/tqi0JEobjk,22/02/2019 11:10,0,0,Other
Dhahran,فِراس,@janaalb7 ٢ من ١٠ الاسامي مدري وش تبي,22/02/2019 11:10,0,0,Other
Riyadh,#بشرى_السعاده 🌸,"َ
صّلوا علىَ خير منْ وَطئ الثّرى
وسّلِمُوا حَتى تَنالوَا المُبتغى💭💗🍂.

"" اللهم صلِ وسلم على نبينا مُحمد ""  

َ
َ… https://t.co/igNi2ZEkrO",22/02/2019 11:10,0,1,Peace
